名前,経歴,ドラフト,状態
大塚　瑠晏,東海大相模高 - 東海大,2025年ドラフト3位,成功
横山　永遠,八戸学院光星高 - 青森中央学院大,2025年育成選手ドラフト2位,成功
常谷　拓輝,札幌静修高 - 北海学園大,2025年育成選手ドラフト1位,成功
安藤　銀杜,享栄高 - 城西国際大 - 四国・徳島,2025年育成選手ドラフト7位,成功
半田　南十,日大藤沢高,2025年ドラフト4位,成功
大川　慈英,常総学院高 - 明治大,2025年ドラフト1位,成功
藤森　海斗,明徳義塾高,2025年ドラフト5位,成功
伊藤　大晟,れいめい高,2025年ドラフト5位,成功
中沢　匠磨,白鴎大足利高 - 白鴎大,2025年育成選手ドラフト3位,成功
金子　京介,盛岡大付高 - 神奈川大,2025年育成選手ドラフト4位,成功
島原　大河,敦賀気比高 - 日本経済大 - 四国・愛媛,2025年育成選手ドラフト5位,成功
伊藤　樹,仙台育英高 - 早稲田大,2025年ドラフト2位,成功
大坪　梓恩,屋久島おおぞら高 - 日本プロスポーツ専門学校 - 日本海・石川,2025年育成選手ドラフト2位,成功
幌村　黛汰,帝京長岡高 - 日本海・富山,2025年育成選手ドラフト1位,成功
繁永　晟,大阪桐蔭高 - 中央大,2025年ドラフト3位,成功
九谷　瑠,堅田高 - 大阪大谷大 - 矢場とんブースターズ - 王子,2025年ドラフト6位,成功
阪上　翔也,神戸国際大付高 - 近畿大,2025年ドラフト7位,成功
大栄　利哉,学法石川高,2025年ドラフト4位,成功
藤原　聡大,水口高 - 花園大,2025年ドラフト1位,成功
川田　悠慎,高知高 - 京都産業大 - 四国銀行,2025年ドラフト6位,成功
堀越　啓太,花咲徳栄高 - 東北福祉大,2025年ドラフト4位,成功
斎藤　佳紳,近大泉州高 - 四国・徳島,2025年育成選手ドラフト3位,成功
小島　大河,東海大相模高 - 明治大,2025年ドラフト1位,成功
秋山　俊,仙台育英高 - 中京大,2025年ドラフト3位,成功
新井　唯斗,八王子学園八王子高,2025年育成選手ドラフト1位,成功
今岡　拓夢,神村学園高,2025年育成選手ドラフト2位,成功
濱岡　蒼太,川和高,2025年育成選手ドラフト4位,成功
横田　蒼和,山村学園高,2025年ドラフト5位,成功
岩城　颯空,富山商 - 中央大,2025年ドラフト2位,成功
平口　寛人,愛工大名電高 - 日本経済大,2025年育成選手ドラフト5位,成功
正木　悠馬,レドモンド高 - 上智大,2025年育成選手ドラフト6位,成功
