player_id,名前,年度,所属球団,登板,勝利,敗戦,セーブ,ホールド,HP,完投,完封,無四球,勝率,打者,投球回,安打,本塁打,四球,死球,三振,暴投,ボーク,失点,自責点,防御率,投手WAR,FIP,WHIP,K/BB,K-BB%,K/9,BB/9,ランク
13115151,本前　郁也,2021,千葉ロッテ,8,1,2,0,0,0,0,0,0,0.333,164,37.2,41,7,15,2,17,0,0,20,20,4.78,-0.75,5.99,1.49,1.13,1.2,4.06,4.06,B
13115151,本前　郁也,2022,千葉ロッテ,12,3,2,0,0,1,0,0,0,0.6,254,56,61,14,26,2,40,2,1,32,29,4.66,-1.39,6.44,1.55,1.54,5.5,6.43,4.5,B
13115151,本前　郁也,2023,千葉ロッテ,1,0,0,0,0,0,0,0,0,0,22,5,4,1,4,0,5,0,0,2,2,3.6,-0.11,6.12,1.6,1.25,4.5,9.0,7.2,B
21525116,唐川　侑己,2008,千葉ロッテ,15,5,4,0,0,0,1,0,1,0.556,358,81.2,102,8,12,3,57,1,0,52,44,4.85,0.59,3.55,1.4,4.75,12.6,6.28,1.65,B
21525116,唐川　侑己,2009,千葉ロッテ,21,5,8,0,0,0,3,1,2,0.385,596,143.1,145,11,28,6,115,0,0,62,58,3.64,1.55,3.22,1.21,4.11,14.6,7.22,2.13,A
21525116,唐川　侑己,2010,千葉ロッテ,11,6,3,0,0,0,2,1,0,0.667,306,73,69,3,20,4,51,1,0,24,22,2.71,0.78,3.24,1.22,2.55,10.1,6.29,2.96,B
21525116,唐川　侑己,2011,千葉ロッテ,24,12,6,0,0,0,5,3,2,0.667,681,168.1,146,6,35,8,122,1,0,50,45,2.41,2.43,2.9,1.08,3.49,12.8,6.52,2.3,A
21525116,唐川　侑己,2012,千葉ロッテ,12,8,2,0,0,0,3,0,1,0.8,341,84.2,81,4,15,2,32,0,1,26,25,2.66,0.58,3.58,1.13,2.13,5.0,3.4,1.81,B
21525116,唐川　侑己,2013,千葉ロッテ,27,9,11,0,0,0,0,0,0,0.45,728,168,185,12,46,3,80,2,0,85,78,4.18,0.43,3.97,1.38,1.74,4.7,4.29,2.62,B
21525116,唐川　侑己,2014,千葉ロッテ,23,4,9,0,1,1,1,0,0,0.308,520,116,146,10,33,8,62,3,1,65,60,4.66,-0.04,4.23,1.54,1.88,5.6,4.81,3.18,B
21525116,唐川　侑己,2015,千葉ロッテ,12,5,4,0,0,0,0,0,0,0.556,288,62.2,78,9,27,3,31,1,0,45,44,6.32,-0.86,5.43,1.68,1.15,1.4,4.45,4.31,B
21525116,唐川　侑己,2016,千葉ロッテ,15,6,6,0,0,0,1,1,0,0.5,373,88.2,84,2,37,3,64,1,3,30,28,2.84,0.86,3.32,1.36,1.73,7.2,6.5,4.06,B
21525116,唐川　侑己,2017,千葉ロッテ,21,5,10,0,0,0,1,0,0,0.333,555,126.1,135,18,37,7,86,1,2,69,63,4.49,-0.64,4.66,1.36,2.32,8.8,6.13,3.13,B
21525116,唐川　侑己,2018,千葉ロッテ,25,1,3,0,4,4,0,0,0,0.25,188,47.2,43,5,10,1,31,0,0,17,15,2.83,0.17,3.88,1.11,3.1,11.2,5.85,2.08,B
21525116,唐川　侑己,2019,千葉ロッテ,40,5,3,0,14,19,0,0,0,0.625,168,37.2,47,7,6,1,30,0,0,25,22,5.26,-0.13,4.5,1.41,5.0,14.3,7.17,1.67,B
21525116,唐川　侑己,2020,千葉ロッテ,32,1,1,0,14,15,0,0,0,0.5,118,30.1,22,1,9,0,23,0,0,4,4,1.19,0.43,2.92,1.02,2.56,11.9,6.82,2.67,B
21525116,唐川　侑己,2021,千葉ロッテ,38,4,2,0,22,26,0,0,0,0.667,150,36.1,29,4,13,1,26,1,0,11,11,2.72,-0.03,4.28,1.16,2.0,8.7,6.44,3.47,B
21525116,唐川　侑己,2022,千葉ロッテ,17,2,1,0,8,10,0,0,0,0.667,63,15.1,14,3,2,1,8,0,0,9,9,5.28,-0.17,5.21,1.04,4.0,9.5,4.7,1.76,B
21525116,唐川　侑己,2023,千葉ロッテ,6,0,1,0,1,1,0,0,0,0,37,7.2,15,1,1,0,2,0,0,6,6,7.04,-0.04,4.69,2.09,2.0,2.7,2.35,1.17,B
21525116,唐川　侑己,2024,千葉ロッテ,8,3,2,0,0,0,0,0,0,0.6,147,38,28,5,3,2,31,0,0,10,10,2.37,0.26,3.59,0.82,10.33,19.0,7.34,1.18,B
21525116,唐川　侑己,2025,千葉ロッテ,2,1,1,0,0,0,0,0,0,0.5,38,9,10,0,1,0,6,0,0,4,4,4,0.21,2.12,1.22,6.0,13.2,6.0,1.0,B
23125151,横山　陸人,2022,千葉ロッテ,1,0,0,0,0,0,0,0,0,0,5,0.2,2,0,1,0,1,0,0,2,2,27,-0.0,4.62,4.5,1.0,0.0,13.5,13.5,B
23125151,横山　陸人,2023,千葉ロッテ,38,2,3,1,8,10,0,0,0,0.4,172,39.1,41,3,18,1,42,3,0,25,23,5.26,0.34,3.43,1.5,2.33,14.0,9.61,4.35,B
23125151,横山　陸人,2024,千葉ロッテ,43,3,1,3,18,21,0,0,0,0.75,169,42,27,1,13,5,37,2,0,8,8,1.71,0.58,2.95,0.95,2.85,14.2,7.93,3.86,B
23125151,横山　陸人,2025,千葉ロッテ,50,2,4,12,20,21,0,0,0,0.333,227,56.1,37,3,16,5,47,3,0,14,13,2.08,0.59,3.26,0.94,2.94,13.7,7.51,3.36,B
23325155,八木　彬,2022,千葉ロッテ,22,0,0,0,0,0,0,0,0,0,96,22.1,25,3,8,0,21,2,0,9,9,3.63,0.03,4.06,1.48,2.62,13.5,8.46,3.22,B
23325155,八木　彬,2024,千葉ロッテ,9,0,0,0,2,2,0,0,0,0,45,11,11,1,1,0,9,1,0,5,5,4.09,0.15,2.94,1.09,9.0,17.8,7.36,0.82,B
23325155,八木　彬,2025,千葉ロッテ,27,0,1,0,5,5,0,0,0,0,117,25.2,32,3,7,3,25,0,0,17,17,5.96,0.1,3.86,1.52,3.57,15.4,8.77,3.51,B
31035157,高野　脩汰,2023,千葉ロッテ,7,0,0,0,0,0,0,0,0,0,45,11,9,1,5,0,8,1,0,4,2,1.64,-0.0,4.21,1.27,1.6,6.7,6.55,4.09,B
31035157,高野　脩汰,2024,千葉ロッテ,6,1,1,0,0,1,0,0,0,0.5,64,14.2,16,1,4,0,16,0,0,6,6,3.68,0.25,2.64,1.36,4.0,18.8,9.82,2.45,B
31035157,高野　脩汰,2025,千葉ロッテ,37,5,3,0,15,20,0,0,0,0.625,219,53.2,43,3,14,2,61,4,0,11,11,1.84,1.03,2.47,1.06,4.36,21.5,10.23,2.68,B
31135138,東妻　勇輔,2019,千葉ロッテ,24,3,2,0,7,10,0,0,0,0.6,92,21,19,2,13,0,16,2,0,11,11,4.71,-0.11,4.69,1.52,1.23,3.3,6.86,5.57,B
31135138,東妻　勇輔,2020,千葉ロッテ,13,0,0,0,1,1,0,0,0,0,69,15,10,2,14,0,4,0,0,5,5,3,-0.49,7.12,1.6,0.29,-14.5,2.4,8.4,B
31135138,東妻　勇輔,2021,千葉ロッテ,37,1,0,0,4,5,0,0,0,1,149,34.1,38,4,9,2,29,2,1,16,11,2.88,0.11,3.91,1.37,3.22,13.4,7.6,2.88,B
31135138,東妻　勇輔,2022,千葉ロッテ,3,0,0,0,0,0,0,0,0,0,21,4,9,2,2,0,1,1,0,4,3,6.75,-0.29,10.62,2.75,0.5,-4.8,2.25,4.5,B
31135138,東妻　勇輔,2023,千葉ロッテ,36,0,1,0,11,11,0,0,0,0,141,34,29,3,12,1,28,4,0,11,11,2.91,0.16,3.77,1.21,2.33,11.3,7.41,3.44,B
31135138,東妻　勇輔,2024,千葉ロッテ,6,0,1,0,0,0,0,0,0,0,37,7.1,13,2,2,1,7,1,0,9,9,11.05,-0.15,5.98,2.05,3.5,13.5,8.59,3.68,B
31135138,東妻　勇輔,2025,千葉ロッテ,6,0,0,0,1,1,0,0,0,0,28,5.1,10,0,3,0,4,0,0,4,4,6.75,0.05,3.31,2.44,1.33,3.6,6.75,5.06,B
31635153,中森　俊介,2023,千葉ロッテ,13,3,2,0,0,3,0,0,0,0.6,86,20.1,17,2,8,3,10,1,0,8,8,3.54,-0.19,5.04,1.23,1.25,2.3,4.43,4.87,B
31635153,中森　俊介,2024,千葉ロッテ,5,1,1,0,0,0,0,0,0,0.5,103,24,23,0,7,1,13,0,0,7,7,2.62,0.31,3.04,1.25,1.86,5.8,4.88,3.0,B
31635153,中森　俊介,2025,千葉ロッテ,25,2,2,5,10,12,0,0,0,0.5,111,29.1,19,1,4,1,36,0,0,4,4,1.23,0.84,1.62,0.78,9.0,28.8,11.05,1.53,B
41645155,廣畑　敦也,2022,千葉ロッテ,30,0,1,0,2,2,0,0,0,0,171,36.2,48,5,15,2,29,2,0,25,20,4.91,-0.2,4.7,1.72,1.93,8.2,7.12,4.17,B
41645155,廣畑　敦也,2023,千葉ロッテ,8,1,1,0,0,1,0,0,0,0.5,50,11,14,1,5,0,11,0,0,7,7,5.73,0.07,3.67,1.73,2.2,12.0,9.0,4.09,B
41645155,廣畑　敦也,2024,千葉ロッテ,8,0,0,1,2,2,0,0,0,0,47,11.1,13,0,0,0,9,2,0,5,4,3.18,0.34,1.53,1.15,9.0,19.1,7.15,0.0,B
41645155,廣畑　敦也,2025,千葉ロッテ,8,0,1,0,0,0,0,0,0,0,37,7.2,8,2,6,0,5,0,0,5,5,5.87,-0.29,7.55,1.83,0.83,-2.7,5.87,7.04,B
41745138,坂本　光士郎,2019,東京ヤクルト,19,0,0,0,3,3,0,0,0,0,104,21.2,22,2,16,2,15,2,0,15,14,5.82,-0.3,5.43,1.75,0.94,-1.0,6.23,7.48,B
41745138,坂本　光士郎,2020,東京ヤクルト,1,0,0,0,0,0,0,0,0,0,19,3,5,1,4,1,3,0,0,6,4,12,-0.21,10.45,3.0,0.75,-5.3,9.0,15.0,B
41745138,坂本　光士郎,2021,東京ヤクルト,36,1,2,0,7,8,0,0,0,0.333,148,33.1,29,4,17,3,25,2,0,17,15,4.05,-0.29,4.98,1.38,1.47,5.4,6.75,5.4,B
41745138,坂本　光士郎,2022,東京ヤクルト,7,0,1,0,0,0,0,0,0,0,59,10.2,15,4,9,1,11,2,0,14,11,9.28,-0.54,8.75,2.25,1.22,3.4,9.28,8.44,B
41745138,坂本　光士郎,2023,千葉ロッテ,51,1,0,0,16,17,0,0,0,1,209,47.2,46,5,22,2,48,2,0,18,17,3.21,0.12,3.98,1.43,2.18,12.4,9.06,4.53,B
41745138,坂本　光士郎,2024,千葉ロッテ,37,1,2,0,11,12,0,0,0,0.333,146,33,34,3,12,5,34,2,0,22,21,5.73,0.15,3.79,1.39,2.83,15.1,9.27,4.64,B
41745138,坂本　光士郎,2025,千葉ロッテ,8,1,2,0,2,3,0,0,0,0.333,28,5.2,6,0,4,2,3,0,0,4,4,6.35,-0.07,5.24,1.76,0.75,-3.6,4.76,9.53,B
41945150,坂井　遼,2025,千葉ロッテ,1,0,0,0,1,1,0,0,0,0,4,1,0,0,1,0,1,0,0,0,0,0,0.0,4.12,1.0,1.0,0.0,9.0,9.0,B
43745159,Ａ．ジャクソン,2024,横浜DeNA,25,8,7,0,0,0,0,0,0,0.533,587,143,109,8,51,6,121,9,0,53,46,2.9,1.35,3.35,1.12,2.37,11.9,7.62,3.59,B
43745159,Ａ．ジャクソン,2025,横浜DeNA,25,10,7,0,0,0,0,0,0,0.588,636,150.2,134,9,55,9,109,7,0,46,39,2.33,0.8,3.72,1.25,1.98,8.5,6.51,3.82,B
51555130,小野　郁,2020,千葉ロッテ,40,2,2,0,4,6,0,0,0,0.5,162,39,31,2,18,1,32,0,0,18,14,3.23,0.26,3.61,1.26,1.78,8.6,7.38,4.38,B
51555130,小野　郁,2021,千葉ロッテ,49,0,3,0,8,8,0,0,0,0,220,51.2,37,4,26,2,56,5,0,25,20,3.48,0.35,3.58,1.22,2.15,13.6,9.75,4.88,B
