player_id,名前,年度,所属球団,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,死球,三振,併殺打,打率,長打率,出塁率,野手WAR,wOBA,wRC+,OPS,ISOp,ランク
91495130,西野　真弘,2020,オリックス,23,77,69,10,17,3,0,0,20,3,0,0,3,0,5,0,10,1,0.246,0.29,0.297,-0.38,.250,81,.576,.043,B
91495130,西野　真弘,2021,オリックス,18,42,41,3,6,0,0,0,6,1,0,0,0,0,1,0,6,0,0.146,0.146,0.167,-0.59,.141,45,.313,.000,B
91495130,西野　真弘,2022,オリックス,43,130,114,10,33,5,1,0,40,8,0,0,6,1,8,1,13,4,0.289,0.351,0.339,-0.25,.287,93,.674,.061,B
91495130,西野　真弘,2023,オリックス,43,138,122,5,24,6,0,0,30,8,0,0,5,0,11,0,9,4,0.197,0.246,0.263,-1.02,.221,71,.500,.049,B
91495130,西野　真弘,2024,オリックス,89,312,280,27,84,6,3,1,99,13,3,1,8,1,22,1,26,3,0.3,0.354,0.352,-0.22,.302,97,.697,.054,B
91495130,西野　真弘,2025,オリックス,75,252,230,27,66,9,3,7,102,35,0,0,6,0,15,1,17,4,0.287,0.443,0.333,0.24,.322,104,.769,.157,B
91495139,森　友哉,2014,埼玉西武,41,92,80,14,22,6,0,6,46,15,0,0,0,0,12,0,22,1,0.275,0.575,0.37,0.61,.390,126,.945,.300,B
91495139,森　友哉,2015,埼玉西武,138,531,474,51,136,33,1,17,222,68,0,4,0,3,44,9,143,5,0.287,0.468,0.357,1.72,.349,113,.824,.181,A
91495139,森　友哉,2016,埼玉西武,107,392,349,43,102,20,0,10,152,46,1,1,0,1,42,0,96,3,0.292,0.436,0.367,1.14,.345,111,.803,.143,B
91495139,森　友哉,2017,埼玉西武,38,145,124,16,42,8,3,2,62,18,3,1,0,0,21,0,24,4,0.339,0.5,0.434,1.08,.399,129,.934,.161,B
91495139,森　友哉,2018,埼玉西武,136,552,473,67,130,34,2,16,216,80,7,2,0,7,70,2,105,3,0.275,0.457,0.366,1.81,.349,113,.823,.182,A
91495139,森　友哉,2019,埼玉西武,135,573,492,96,162,34,2,23,269,105,3,2,1,6,72,2,89,9,0.329,0.547,0.413,4.33,.401,129,.959,.217,S
91495139,森　友哉,2020,埼玉西武,104,405,358,46,90,15,2,9,136,38,4,2,2,4,38,3,67,7,0.251,0.38,0.325,-0.23,.303,98,.703,.128,B
91495139,森　友哉,2021,埼玉西武,125,520,431,70,133,32,2,11,202,41,5,2,1,3,79,6,65,4,0.309,0.469,0.42,3.11,.382,123,.888,.160,S
91495139,森　友哉,2022,埼玉西武,102,412,366,45,92,21,3,8,143,38,2,1,3,1,41,1,66,11,0.251,0.391,0.328,-0.08,.308,99,.716,.139,B
91495139,森　友哉,2023,オリックス,110,453,384,49,113,24,2,18,195,64,4,1,1,7,54,7,61,9,0.294,0.508,0.385,2.41,.374,121,.892,.214,A
